Experiment,Neurons,Learning Rate,Epochs,Accuracy,Loss
Baseline,16,0.001,20,0.9825000166893005,0.08087373524904251
More Neurons,32,0.001,20,0.9825000166893005,0.07560254633426666
Higher LR,16,0.01,20,0.9825000166893005,0.2501324415206909
More Epochs,16,0.001,40,0.987500011920929,0.0646393746137619
